test_dataset,pretrained,few,shot,run,epoch,val_acc,test_acc,duration_sec,log_file
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,1,136,0.8506,0.8542,38.85,experiment_log_2025-09-21 06:30:34.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,2,130,0.9077,0.8616,38.08,experiment_log_2025-09-21 06:31:12.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,3,176,0.9004,0.8967,40.27,experiment_log_2025-09-21 06:31:52.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,4,45,0.8727,0.8616,38.45,experiment_log_2025-09-21 06:32:31.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,5,165,0.8911,0.8561,39.09,experiment_log_2025-09-21 06:33:10.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,1,43,0.6960,0.7050,22.93,experiment_log_2025-09-21 06:33:33.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,2,29,0.6860,0.6670,24.09,experiment_log_2025-09-21 06:33:57.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,3,76,0.6540,0.6610,21.47,experiment_log_2025-09-21 06:34:18.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,4,24,0.6140,0.6030,25.77,experiment_log_2025-09-21 06:34:44.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,5,24,0.6620,0.6590,20.90,experiment_log_2025-09-21 06:35:05.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,1,29,0.7220,0.7030,22.60,experiment_log_2025-09-21 06:35:27.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,2,31,0.7300,0.7320,22.52,experiment_log_2025-09-21 06:35:50.txt
